n,t,tier,budget,c_anchor,c_vc,unit_cost,ns_max
5,5,vehicle,150.0,1.0,5.0,10.0,15
5,5,vehicle,200.0,1.0,5.0,10.0,20
5,5,transit,10.0,1.0,3.0,8.0,1
5,5,transit,20.0,1.0,3.0,8.0,2
5,5,transit,30.0,1.0,3.0,8.0,3
5,5,transit,40.0,1.0,3.0,8.0,5
5,5,transit,50.0,1.0,3.0,8.0,6
5,5,transit,80.0,1.0,3.0,8.0,10
5,5,transit,100.0,1.0,3.0,8.0,12
5,5,transit,150.0,1.0,3.0,8.0,18
5,5,transit,200.0,1.0,3.0,8.0,25
