cadence_sec,dataset,granularity,max_residual,mean_residual,median_residual,n,p95_residual,payload_mode,positive_share,relay_radius_m,skip_count
300,rome,fine,0.3710801393728223,0.2520522173866159,0.2340189311272395,10,0.36809055552829173,intra_cell,1.0,200,0
60,rome,medium,0.006623763021304628,0.003311881510652314,0.003311881510652314,2,0.006292574870239396,cell,0.5,0,8
60,rome,medium,0.10826245443499392,0.05603564710063845,0.06051382739147536,10,0.0944681543826659,cell,1.0,200,0
60,rome,medium,0.011288805268109126,0.006511127602507744,0.006623763021304628,5,0.010645574991480236,intra_cell,0.8,0,5
60,rome,medium,0.12972863507492913,0.06741436516384511,0.06891276725106543,10,0.11436109736270682,intra_cell,1.0,200,0
120,rome,medium,0.11971830985915492,0.05985915492957746,0.05985915492957746,2,0.11373239436619717,cell,0.5,0,8
120,rome,medium,0.20264261212044213,0.16173225298389043,0.15816572530651607,10,0.2000422868404592,cell,1.0,200,0
120,rome,medium,0.12412177985948478,0.06525549974250369,0.048761609907120744,5,0.1232410858594188,intra_cell,0.8,0,5
120,rome,medium,0.3710801393728223,0.250439144136229,0.2340189311272395,10,0.36809055552829173,intra_cell,1.0,200,0
300,rome,medium,0.11971830985915492,0.05985915492957746,0.05985915492957746,2,0.11373239436619717,cell,0.5,0,8
300,rome,medium,0.20264261212044213,0.16173225298389043,0.15816572530651607,10,0.2000422868404592,cell,1.0,200,0
300,rome,medium,0.12412177985948478,0.06525549974250369,0.048761609907120744,5,0.1232410858594188,intra_cell,0.8,0,5
300,rome,medium,0.3710801393728223,0.250439144136229,0.2340189311272395,10,0.36809055552829173,intra_cell,1.0,200,0
