adversarial_min_fee_cents,cadence_sec,claimed_distance_m,constraints_ok,dataset,distance_bucket_m,effective_radius_m,granularity,honest_fee_cents,n_fixes,odometer_check_tolerance_m,payload_mode,payload_odometer_tolerance_m,period_id,relay_radius_m,savings_ratio,skip_reason,true_distance_m
14029,300,3707,True,geolife,100,470.71067811865476,fine,17357,17,950,intra_cell,150,010-20080917225654-0,400,0.19173820360661403,,4091
,60,,False,geolife,100,0.0,coarse,,36,1850,cell,100,010-20080921224934-0,0,,no feasible adversarial claim under enabled constraints,4251
17235,60,4205,True,geolife,100,100.0,coarse,18695,36,1850,cell,100,010-20080921224934-0,100,0.0780957475260765,,4251
16544,60,4110,True,geolife,100,200.0,coarse,18695,36,1850,cell,100,010-20080921224934-0,200,0.11505750200588392,,4251
15375,60,4055,True,geolife,100,400.0,coarse,18695,36,1850,cell,100,010-20080921224934-0,400,0.1775875902647767,,4251
,60,,False,geolife,100,70.71067811865476,coarse,,36,1900,intra_cell,150,010-20080921224934-0,0,,no feasible adversarial claim under enabled constraints,4251
16696,60,4032,True,geolife,100,170.71067811865476,coarse,18695,36,1900,intra_cell,150,010-20080921224934-0,100,0.10692698582508692,,4251
16062,60,3954,True,geolife,100,270.71067811865476,coarse,18695,36,1900,intra_cell,150,010-20080921224934-0,200,0.14083979673709549,,4251
14802,60,3898,True,geolife,100,470.71067811865476,coarse,18695,36,1900,intra_cell,150,010-20080921224934-0,400,0.20823749665686012,,4251
,120,,False,geolife,100,0.0,coarse,,36,1850,cell,100,010-20080921224934-0,0,,no feasible adversarial claim under enabled constraints,4251
17235,120,4205,True,geolife,100,100.0,coarse,18695,36,1850,cell,100,010-20080921224934-0,100,0.0780957475260765,,4251
16544,120,4110,True,geolife,100,200.0,coarse,18695,36,1850,cell,100,010-20080921224934-0,200,0.11505750200588392,,4251
15375,120,4055,True,geolife,100,400.0,coarse,18695,36,1850,cell,100,010-20080921224934-0,400,0.1775875902647767,,4251
,120,,False,geolife,100,70.71067811865476,coarse,,36,1900,intra_cell,150,010-20080921224934-0,0,,no feasible adversarial claim under enabled constraints,4251
16696,120,4032,True,geolife,100,170.71067811865476,coarse,18695,36,1900,intra_cell,150,010-20080921224934-0,100,0.10692698582508692,,4251
16062,120,3954,True,geolife,100,270.71067811865476,coarse,18695,36,1900,intra_cell,150,010-20080921224934-0,200,0.14083979673709549,,4251
14802,120,3898,True,geolife,100,470.71067811865476,coarse,18695,36,1900,intra_cell,150,010-20080921224934-0,400,0.20823749665686012,,4251
,300,,False,geolife,100,0.0,coarse,,36,1850,cell,100,010-20080921224934-0,0,,no feasible adversarial claim under enabled constraints,4251
17235,300,4205,True,geolife,100,100.0,coarse,18695,36,1850,cell,100,010-20080921224934-0,100,0.0780957475260765,,4251
16544,300,4110,True,geolife,100,200.0,coarse,18695,36,1850,cell,100,010-20080921224934-0,200,0.11505750200588392,,4251
15375,300,4055,True,geolife,100,400.0,coarse,18695,36,1850,cell,100,010-20080921224934-0,400,0.1775875902647767,,4251
,300,,False,geolife,100,70.71067811865476,coarse,,36,1900,intra_cell,150,010-20080921224934-0,0,,no feasible adversarial claim under enabled constraints,4251
16696,300,4032,True,geolife,100,170.71067811865476,coarse,18695,36,1900,intra_cell,150,010-20080921224934-0,100,0.10692698582508692,,4251
16062,300,3954,True,geolife,100,270.71067811865476,coarse,18695,36,1900,intra_cell,150,010-20080921224934-0,200,0.14083979673709549,,4251
14802,300,3898,True,geolife,100,470.71067811865476,coarse,18695,36,1900,intra_cell,150,010-20080921224934-0,400,0.20823749665686012,,4251
,60,,False,geolife,100,0.0,medium,,36,1850,cell,100,010-20080921224934-0,0,,no feasible adversarial claim under enabled constraints,4251
17804,60,4154,True,geolife,100,100.0,medium,18695,36,1850,cell,100,010-20080921224934-0,100,0.047659802086119286,,4251
17084,60,4090,True,geolife,100,200.0,medium,18695,36,1850,cell,100,010-20080921224934-0,200,0.08617277346884193,,4251
15419,60,4003,True,geolife,100,400.0,medium,18695,36,1850,cell,100,010-20080921224934-0,400,0.17523401979138808,,4251
,60,,False,geolife,100,70.71067811865476,medium,,36,1900,intra_cell,150,010-20080921224934-0,0,,no feasible adversarial claim under enabled constraints,4251
17266,60,4022,True,geolife,100,170.71067811865476,medium,18695,36,1900,intra_cell,150,010-20080921224934-0,100,0.07643755014709816,,4251
16154,60,3944,True,geolife,100,270.71067811865476,medium,18695,36,1900,intra_cell,150,010-20080921224934-0,200,0.13591869483819202,,4251
14894,60,3898,True,geolife,100,470.71067811865476,medium,18695,36,1900,intra_cell,150,010-20080921224934-0,400,0.20331639475795668,,4251
,120,,False,geolife,100,0.0,medium,,36,1850,cell,100,010-20080921224934-0,0,,no feasible adversarial claim under enabled constraints,4251
17804,120,4154,True,geolife,100,100.0,medium,18695,36,1850,cell,100,010-20080921224934-0,100,0.047659802086119286,,4251
17084,120,4090,True,geolife,100,200.0,medium,18695,36,1850,cell,100,010-20080921224934-0,200,0.08617277346884193,,4251
15419,120,4003,True,geolife,100,400.0,medium,18695,36,1850,cell,100,010-20080921224934-0,400,0.17523401979138808,,4251
,120,,False,geolife,100,70.71067811865476,medium,,36,1900,intra_cell,150,010-20080921224934-0,0,,no feasible adversarial claim under enabled constraints,4251
17266,120,4022,True,geolife,100,170.71067811865476,medium,18695,36,1900,intra_cell,150,010-20080921224934-0,100,0.07643755014709816,,4251
16154,120,3944,True,geolife,100,270.71067811865476,medium,18695,36,1900,intra_cell,150,010-20080921224934-0,200,0.13591869483819202,,4251
14894,120,3898,True,geolife,100,470.71067811865476,medium,18695,36,1900,intra_cell,150,010-20080921224934-0,400,0.20331639475795668,,4251
,300,,False,geolife,100,0.0,medium,,36,1850,cell,100,010-20080921224934-0,0,,no feasible adversarial claim under enabled constraints,4251
17804,300,4154,True,geolife,100,100.0,medium,18695,36,1850,cell,100,010-20080921224934-0,100,0.047659802086119286,,4251
17084,300,4090,True,geolife,100,200.0,medium,18695,36,1850,cell,100,010-20080921224934-0,200,0.08617277346884193,,4251
15419,300,4003,True,geolife,100,400.0,medium,18695,36,1850,cell,100,010-20080921224934-0,400,0.17523401979138808,,4251
,300,,False,geolife,100,70.71067811865476,medium,,36,1900,intra_cell,150,010-20080921224934-0,0,,no feasible adversarial claim under enabled constraints,4251
17266,300,4022,True,geolife,100,170.71067811865476,medium,18695,36,1900,intra_cell,150,010-20080921224934-0,100,0.07643755014709816,,4251
16154,300,3944,True,geolife,100,270.71067811865476,medium,18695,36,1900,intra_cell,150,010-20080921224934-0,200,0.13591869483819202,,4251
14894,300,3898,True,geolife,100,470.71067811865476,medium,18695,36,1900,intra_cell,150,010-20080921224934-0,400,0.20331639475795668,,4251
,60,,False,geolife,100,0.0,fine,,36,1850,cell,100,010-20080921224934-0,0,,no feasible adversarial claim under enabled constraints,4251
17804,60,4154,True,geolife,100,100.0,fine,18695,36,1850,cell,100,010-20080921224934-0,100,0.047659802086119286,,4251
17084,60,4090,True,geolife,100,200.0,fine,18695,36,1850,cell,100,010-20080921224934-0,200,0.08617277346884193,,4251
15419,60,4003,True,geolife,100,400.0,fine,18695,36,1850,cell,100,010-20080921224934-0,400,0.17523401979138808,,4251
,60,,False,geolife,100,70.71067811865476,fine,,36,1900,intra_cell,150,010-20080921224934-0,0,,no feasible adversarial claim under enabled constraints,4251
17266,60,4022,True,geolife,100,170.71067811865476,fine,18695,36,1900,intra_cell,150,010-20080921224934-0,100,0.07643755014709816,,4251
16062,60,3954,True,geolife,100,270.71067811865476,fine,18695,36,1900,intra_cell,150,010-20080921224934-0,200,0.14083979673709549,,4251
14888,60,3860,True,geolife,100,470.71067811865476,fine,18695,36,1900,intra_cell,150,010-20080921224934-0,400,0.20363733618614602,,4251
,120,,False,geolife,100,0.0,fine,,36,1850,cell,100,010-20080921224934-0,0,,no feasible adversarial claim under enabled constraints,4251
17804,120,4154,True,geolife,100,100.0,fine,18695,36,1850,cell,100,010-20080921224934-0,100,0.047659802086119286,,4251
17084,120,4090,True,geolife,100,200.0,fine,18695,36,1850,cell,100,010-20080921224934-0,200,0.08617277346884193,,4251
15419,120,4003,True,geolife,100,400.0,fine,18695,36,1850,cell,100,010-20080921224934-0,400,0.17523401979138808,,4251
,120,,False,geolife,100,70.71067811865476,fine,,36,1900,intra_cell,150,010-20080921224934-0,0,,no feasible adversarial claim under enabled constraints,4251
17266,120,4022,True,geolife,100,170.71067811865476,fine,18695,36,1900,intra_cell,150,010-20080921224934-0,100,0.07643755014709816,,4251
16062,120,3954,True,geolife,100,270.71067811865476,fine,18695,36,1900,intra_cell,150,010-20080921224934-0,200,0.14083979673709549,,4251
