tau,tau2,seed,attack_type,malicious_rate,tpr_attack,benign_frr,attack_round_csv,benign_round_csv,attack_log,benign_log
5,2,3,gradual_drift,0.10,0.983330,0.192000,experiments/round_metrics_20260423_031834.csv,experiments/round_metrics_20260423_034243.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau5_tau22_s3_j65.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau5_tau22_s3_j65.log
5,3,1,gradual_drift,0.10,0.981665,0.192000,experiments/round_metrics_20260423_032019.csv,experiments/round_metrics_20260423_034423.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau5_tau23_s1_j66.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau5_tau23_s1_j66.log
5,3,2,gradual_drift,0.10,0.981665,0.192000,experiments/round_metrics_20260423_032019.csv,experiments/round_metrics_20260423_034425.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau5_tau23_s2_j67.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau5_tau23_s2_j67.log
5,3,3,gradual_drift,0.10,0.987500,0.192000,experiments/round_metrics_20260423_040648.csv,experiments/round_metrics_20260423_043104.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau5_tau23_s3_j68.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau5_tau23_s3_j68.log
5,4,1,gradual_drift,0.10,0.970910,0.192000,experiments/round_metrics_20260423_040704.csv,experiments/round_metrics_20260423_043059.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau5_tau24_s1_j69.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau5_tau24_s1_j69.log
5,4,2,gradual_drift,0.10,0.980000,0.192000,experiments/round_metrics_20260423_040921.csv,experiments/round_metrics_20260423_043311.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau5_tau24_s2_j70.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau5_tau24_s2_j70.log
5,4,3,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260423_040922.csv,experiments/round_metrics_20260423_043254.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau5_tau24_s3_j71.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau5_tau24_s3_j71.log
5,5,1,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260423_045545.csv,experiments/round_metrics_20260423_051624.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau5_tau25_s1_j72.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau5_tau25_s1_j72.log
5,5,2,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260423_045545.csv,experiments/round_metrics_20260423_051638.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau5_tau25_s2_j73.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau5_tau25_s2_j73.log
5,5,3,gradual_drift,0.10,0.935000,0.192000,experiments/round_metrics_20260423_045754.csv,experiments/round_metrics_20260423_051817.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau5_tau25_s3_j74.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau5_tau25_s3_j74.log
