branch,dataset,distance_bucket_m,neighbor_radius_cells,len_claimed_fixes,savings_ratio,skip_reason
no_zone_binding,rome:60:153-0-s12:p1,25,2,25,0.0011717285339332584,
no_continuity,rome:60:153-0-s12:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:153-0-s12:p1,25,2,25,0.00703037120359955,
no_cadence,rome:60:153-0-s12:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:153-0-s15:p0,25,2,25,0.0018107155559866782,
no_continuity,rome:60:153-0-s15:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:153-0-s15:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:153-0-s15:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:153-0-s15:p1,25,2,25,0.0018378004621795222,
no_continuity,rome:60:153-0-s15:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:153-0-s15:p1,25,2,25,0.011026802773077132,
no_cadence,rome:60:153-0-s15:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:153-0-s15:p2,25,2,25,0.0034063260340632603,
no_continuity,rome:60:153-0-s15:p2,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:153-0-s15:p2,25,2,25,0.020437956204379562,
no_cadence,rome:60:153-0-s15:p2,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:153-0-s214:p0,25,2,25,0.0,
no_continuity,rome:60:153-0-s214:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:153-0-s214:p0,25,2,25,0.08581752484191509,
no_cadence,rome:60:153-0-s214:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:155-0-s239:p0,25,2,25,0.0,
no_continuity,rome:60:155-0-s239:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:155-0-s239:p0,25,2,25,0.006106212172913561,
no_cadence,rome:60:155-0-s239:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:155-0-s253:p0,25,2,25,0.0,
no_continuity,rome:60:155-0-s253:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:155-0-s253:p0,25,2,25,0.021013597033374538,
no_cadence,rome:60:155-0-s253:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:155-0-s266:p0,25,2,25,0.0,
no_continuity,rome:60:155-0-s266:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:155-0-s266:p0,25,2,25,0.016800206771775652,
no_cadence,rome:60:155-0-s266:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:156-0-s76:p0,25,2,25,0.019248138654949346,
no_continuity,rome:60:156-0-s76:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:156-0-s76:p0,25,2,25,0.0642255584035152,
no_cadence,rome:60:156-0-s76:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:157-0-s98:p0,25,2,25,0.0006620896123897117,
no_continuity,rome:60:157-0-s98:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:157-0-s98:p0,25,2,25,0.00397253767433827,
no_cadence,rome:60:157-0-s98:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:162-0-s40:p0,25,2,25,0.004026261380536109,
no_continuity,rome:60:162-0-s40:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:162-0-s40:p0,25,2,25,0.09271282962748013,
no_cadence,rome:60:162-0-s40:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:162-0-s40:p1,25,2,25,0.0019111426055959974,
no_continuity,rome:60:162-0-s40:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:162-0-s40:p1,25,2,25,0.011466855633575985,
no_cadence,rome:60:162-0-s40:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:163-0-s105:p0,25,2,25,0.0163766822812105,
no_continuity,rome:60:163-0-s105:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:163-0-s105:p0,25,2,25,0.06669640865491858,
no_cadence,rome:60:163-0-s105:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:167-0-s26:p0,25,2,25,0.00728424386381631,
no_continuity,rome:60:167-0-s26:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:167-0-s26:p0,25,2,25,0.03710741620480338,
no_cadence,rome:60:167-0-s26:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:167-0-s73:p0,25,2,25,0.00460242063172584,
no_continuity,rome:60:167-0-s73:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:167-0-s73:p0,25,2,25,0.027614523790355044,
no_cadence,rome:60:167-0-s73:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:172-0-s6:p0,25,2,25,0.0,
no_continuity,rome:60:172-0-s6:p0,25,2,25,0.0,
