baseline,epsilon,malicious_rate,attack_type,round,n_users,n_malicious,malicious_reject_rate,false_reject_rate,jaccard,rmse,relative_error
eiffel,1.0,0.0,random,10,50,0,0.0,0.0,0.1951219512195122,0.28948229652260254,0.9036195277885466
eiffel,1.0,0.1,random,1,50,3,0.0,0.0,0.16279069767441862,0.29325756597230357,0.9030723897433592
eiffel,1.0,0.1,random,2,50,3,0.0,0.0,0.17647058823529413,0.2918903903865285,0.9100168341791229
eiffel,1.0,0.1,random,3,50,3,0.0,0.0,0.19047619047619047,0.29120439557122074,0.9089646456295474
eiffel,1.0,0.1,random,4,50,3,0.0,0.0,0.16279069767441862,0.29257477676655586,0.9072811439474487
eiffel,1.0,0.1,random,5,50,3,0.0,0.0,0.14942528735632185,0.29223278392404917,0.9062289553970665
eiffel,1.0,0.1,random,6,50,3,0.0,0.0,0.14942528735632185,0.29257477676655586,0.9038299655018076
eiffel,1.0,0.1,random,7,50,3,0.0,0.0,0.12643678160919541,0.293598365118064,0.9044612786329628
eiffel,1.0,0.1,random,8,50,3,0.0,0.0,0.19047619047619047,0.2918903903865285,0.9082491574138972
eiffel,1.0,0.1,random,9,50,3,0.0,0.0,0.17647058823529413,0.29154759474226505,0.9057239048911699
eiffel,1.0,0.1,random,10,50,3,0.0,0.0,0.1951219512195122,0.290516780926679,0.9111952853567283
eiffel,1.0,0.2,random,1,50,6,0.0,0.0,0.14942528735632185,0.2946183972531247,0.9093855210508086
eiffel,1.0,0.2,random,2,50,6,0.0,0.0,0.14942528735632185,0.29393876913398137,0.9146464638053156
eiffel,1.0,0.2,random,3,50,6,0.0,0.0,0.17647058823529413,0.2929163703175362,0.9148569015164724
eiffel,1.0,0.2,random,4,50,6,0.0,0.0,0.14942528735632185,0.293598365118064,0.9110690227321709
eiffel,1.0,0.2,random,5,50,6,0.0,0.0,0.14942528735632185,0.2929163703175362,0.911279460442521
eiffel,1.0,0.2,random,6,50,6,0.0,0.0,0.13636363636363635,0.29393876913398137,0.910143096809257
eiffel,1.0,0.2,random,7,50,6,0.0,0.0,0.11363636363636363,0.2946183972531247,0.9082491574176851
eiffel,1.0,0.2,random,8,50,6,0.0,0.0,0.16279069767441862,0.29325756597230357,0.9107744099378872
eiffel,1.0,0.2,random,9,50,6,0.0,0.0,0.16279069767441862,0.2929163703175362,0.9120370361986195
eiffel,1.0,0.2,random,10,50,6,0.0,0.0,0.16666666666666666,0.29223278392404917,0.9162457904034453
eiffel,1.0,0.3,random,1,50,13,0.0,0.0,0.12359550561797752,0.29832867780352595,0.9236952853473855
eiffel,1.0,0.3,random,2,50,13,0.0,0.0,0.12359550561797752,0.2966479394838265,0.9243265984769625
eiffel,1.0,0.3,random,3,50,13,0.0,0.0,0.13636363636363635,0.2973213749463701,0.9247474738987499
eiffel,1.0,0.3,random,4,50,13,0.0,0.0,0.12359550561797752,0.2966479394838265,0.920538719693503
eiffel,1.0,0.3,random,5,50,13,0.0,0.0,0.12359550561797752,0.29698484809834996,0.9283249149720346
eiffel,1.0,0.3,random,6,50,13,0.0,0.0,0.0989010989010989,0.29899832775452106,0.9226430967982658
eiffel,1.0,0.3,random,7,50,13,0.0,0.0,0.08695652173913043,0.29933259094191533,0.9213804705375335
eiffel,1.0,0.3,random,8,50,13,0.0,0.0,0.14942528735632185,0.2976575213227443,0.9276936018411952
eiffel,1.0,0.3,random,9,50,13,0.0,0.0,0.13636363636363635,0.2973213749463701,0.9251683493184679
eiffel,1.0,0.3,random,10,50,13,0.0,0.0,0.14942528735632185,0.29597297173897485,0.9276936018407743
eiffel,1.0,0.5,random,1,50,31,0.0,0.0,0.06521739130434782,0.3062678566222711,0.9622053863219753
eiffel,1.0,0.5,random,2,50,31,0.0,0.0,0.08695652173913043,0.30397368307141326,0.9590488206668301
eiffel,1.0,0.5,random,3,50,31,0.0,0.0,0.12359550561797752,0.30463092423455634,0.9708333324389962
eiffel,1.0,0.5,random,4,50,31,0.0,0.0,0.06382978723404255,0.3062678566222711,0.9624158240322902
eiffel,1.0,0.5,random,5,50,31,0.0,0.0,0.06521739130434782,0.30495901363953815,0.9607323223507526
eiffel,1.0,0.5,random,6,50,31,0.0,0.0,0.07526881720430108,0.30463092423455634,0.9579966321177104
eiffel,1.0,0.5,random,7,50,31,0.0,0.0,0.07526881720430108,0.30528675044947495,0.9630471371631649
eiffel,1.0,0.5,random,8,50,31,0.0,0.0,0.08695652173913043,0.30528675044947495,0.9638888880033725
eiffel,1.0,0.5,random,9,50,31,0.0,0.0,0.07526881720430108,0.3056141357987225,0.9626262617426401
eiffel,1.0,0.5,random,10,50,31,0.0,0.0,0.0989010989010989,0.30397368307141326,0.9672558913658866
