cadence_sec,dataset,granularity,max_residual,mean_residual,median_residual,n,p95_residual,payload_mode,positive_share,relay_radius_m,skip_count
120,porto,coarse,0.27944111776447106,0.21760919215697772,0.20762017270500516,8,0.27664177195558426,intra_cell,1.0,200,0
120,porto,coarse,0.27944111776447106,0.21760919215697772,0.20762017270500516,8,0.27664177195558426,intra_cell,1.0,400,0
300,porto,coarse,0.0,0.0,0.0,1,0.0,cell,0.0,0,7
300,porto,coarse,0.1705348133198789,0.11833446486422798,0.11090965122102864,8,0.1589767212678371,cell,1.0,100,0
300,porto,coarse,0.17964071856287425,0.14810560594700575,0.147167663128335,8,0.17645365172782587,cell,1.0,200,0
300,porto,coarse,0.17964071856287425,0.14979903294148644,0.147167663128335,8,0.17645365172782587,cell,1.0,400,0
300,porto,coarse,0.146866230121609,0.0734331150608045,0.0734331150608045,2,0.13952291861552854,intra_cell,0.5,0,6
300,porto,coarse,0.2714429868819374,0.20857790892052136,0.20271602647228115,8,0.2665577019523012,intra_cell,1.0,100,0
300,porto,coarse,0.27944111776447106,0.21760919215697772,0.20762017270500516,8,0.27664177195558426,intra_cell,1.0,200,0
300,porto,coarse,0.27944111776447106,0.21760919215697772,0.20762017270500516,8,0.27664177195558426,intra_cell,1.0,400,0
60,porto,fine,0.0,0.0,0.0,1,0.0,cell,0.0,0,7
60,porto,fine,0.1705348133198789,0.11833446486422798,0.11090965122102864,8,0.1589767212678371,cell,1.0,100,0
60,porto,fine,0.17964071856287425,0.14810560594700575,0.147167663128335,8,0.17645365172782587,cell,1.0,200,0
60,porto,fine,0.17964071856287425,0.14979903294148644,0.147167663128335,8,0.17645365172782587,cell,1.0,400,0
60,porto,fine,0.146866230121609,0.0734331150608045,0.0734331150608045,2,0.13952291861552854,intra_cell,0.5,0,6
60,porto,fine,0.2714429868819374,0.20857790892052136,0.20271602647228115,8,0.2665577019523012,intra_cell,1.0,100,0
60,porto,fine,0.27944111776447106,0.21760919215697772,0.20762017270500516,8,0.27664177195558426,intra_cell,1.0,200,0
60,porto,fine,0.27944111776447106,0.21760919215697772,0.20762017270500516,8,0.27664177195558426,intra_cell,1.0,400,0
