dataset,period_id,mode,empirical_anonymity_set,empirical_entropy_bits,distance_tol_m,fee_tol_cents
geolife,163-20070715142911-0,odometer_only_statement,1,0.0,100,
geolife,167-20080606181635-0,zone_priced_statement,1,0.0,921,4603
geolife,167-20080606181635-0,mixed_statement,1,0.0,921,
geolife,167-20080606181635-0,odometer_only_statement,1,0.0,921,
rome,rome:60:103-0-s96:p0,zone_priced_statement,3,1.584962500721156,168,13872
rome,rome:60:103-0-s96:p0,mixed_statement,3,1.584962500721156,168,
rome,rome:60:103-0-s96:p0,odometer_only_statement,6,2.584962500721156,168,
rome,rome:60:104-0-s145:p0,zone_priced_statement,3,1.584962500721156,100,27906
rome,rome:60:104-0-s145:p0,mixed_statement,7,2.807354922057604,100,
rome,rome:60:104-0-s145:p0,odometer_only_statement,48,5.584962500721156,100,
rome,rome:60:105-0-s77:p0,zone_priced_statement,4,2.0,100,20100
rome,rome:60:105-0-s77:p0,mixed_statement,4,2.0,100,
rome,rome:60:105-0-s77:p0,odometer_only_statement,24,4.584962500721156,100,
rome,rome:60:109-0-s11:p0,zone_priced_statement,4,2.0,100,13081
rome,rome:60:109-0-s11:p0,mixed_statement,4,2.0,100,
rome,rome:60:109-0-s11:p0,odometer_only_statement,18,4.169925001442312,100,
rome,rome:60:109-0-s11:p1,zone_priced_statement,5,2.321928094887362,100,17147
rome,rome:60:109-0-s11:p1,mixed_statement,5,2.321928094887362,100,
rome,rome:60:109-0-s11:p1,odometer_only_statement,45,5.491853096329675,100,
rome,rome:60:109-0-s188:p0,zone_priced_statement,1,0.0,108,15457
rome,rome:60:109-0-s188:p0,mixed_statement,1,0.0,108,
rome,rome:60:109-0-s188:p0,odometer_only_statement,4,2.0,108,
rome,rome:60:109-0-s188:p1,zone_priced_statement,9,3.169925001442312,100,14719
rome,rome:60:109-0-s188:p1,mixed_statement,9,3.169925001442312,100,
rome,rome:60:109-0-s188:p1,odometer_only_statement,48,5.584962500721156,100,
rome,rome:60:109-0-s32:p0,zone_priced_statement,1,0.0,141,18339
rome,rome:60:109-0-s32:p0,mixed_statement,1,0.0,141,
rome,rome:60:109-0-s32:p0,odometer_only_statement,6,2.584962500721156,141,
rome,rome:60:109-0-s40:p0,zone_priced_statement,2,1.0,246,14814
rome,rome:60:109-0-s40:p0,mixed_statement,2,1.0,246,
rome,rome:60:109-0-s40:p0,odometer_only_statement,5,2.321928094887362,246,
rome,rome:60:109-0-s42:p0,zone_priced_statement,1,0.0,238,19161
rome,rome:60:109-0-s42:p0,mixed_statement,1,0.0,238,
rome,rome:60:109-0-s42:p0,odometer_only_statement,4,2.0,238,
rome,rome:60:11-0-s11:p0,zone_priced_statement,4,2.0,100,10101
rome,rome:60:11-0-s11:p0,mixed_statement,4,2.0,100,
rome,rome:60:11-0-s11:p0,odometer_only_statement,42,5.392317422778761,100,
rome,rome:60:11-0-s11:p1,zone_priced_statement,5,2.321928094887362,100,19851
rome,rome:60:11-0-s11:p1,mixed_statement,5,2.321928094887362,100,
rome,rome:60:11-0-s11:p1,odometer_only_statement,45,5.491853096329675,100,
rome,rome:60:11-0-s11:p2,zone_priced_statement,9,3.169925001442312,100,14952
rome,rome:60:11-0-s11:p2,mixed_statement,9,3.169925001442312,100,
rome,rome:60:11-0-s11:p2,odometer_only_statement,44,5.459431618637297,100,
rome,rome:60:11-0-s136:p0,zone_priced_statement,3,1.584962500721156,100,25794
