dataset,placement,omit_policy,omit_fraction,cameras,empirical_p_detect,trials,tsip_p_detect_proof_violating,tsip_cameras
rome,uniform_random,rational_topfee,0.2,1,0.00561,12300,1.0,0
rome,uniform_random,random,0.1,1,0.005366,12300,1.0,0
rome,uniform_random,random,0.2,1,0.004878,12300,1.0,0
rome,uniform_random,rational_topfee,0.1,2,0.009593,12300,1.0,0
rome,uniform_random,rational_topfee,0.2,2,0.010488,12300,1.0,0
rome,uniform_random,random,0.1,2,0.009837,12300,1.0,0
rome,uniform_random,random,0.2,2,0.009187,12300,1.0,0
rome,uniform_random,rational_topfee,0.1,5,0.027886,12300,1.0,0
rome,uniform_random,rational_topfee,0.2,5,0.029756,12300,1.0,0
rome,uniform_random,random,0.1,5,0.025854,12300,1.0,0
rome,uniform_random,random,0.2,5,0.029024,12300,1.0,0
rome,uniform_random,rational_topfee,0.1,10,0.056341,12300,1.0,0
rome,uniform_random,rational_topfee,0.2,10,0.059756,12300,1.0,0
rome,uniform_random,random,0.1,10,0.055935,12300,1.0,0
rome,uniform_random,random,0.2,10,0.058293,12300,1.0,0
rome,uniform_random,rational_topfee,0.1,20,0.103089,12300,1.0,0
rome,uniform_random,rational_topfee,0.2,20,0.110325,12300,1.0,0
rome,uniform_random,random,0.1,20,0.098049,12300,1.0,0
rome,uniform_random,random,0.2,20,0.106748,12300,1.0,0
rome,uniform_random,rational_topfee,0.1,50,0.252683,12300,1.0,0
rome,uniform_random,rational_topfee,0.2,50,0.266911,12300,1.0,0
rome,uniform_random,random,0.1,50,0.254553,12300,1.0,0
rome,uniform_random,random,0.2,50,0.269268,12300,1.0,0
rome,uniform_random,rational_topfee,0.1,75,0.393252,12300,1.0,0
rome,uniform_random,rational_topfee,0.2,75,0.411382,12300,1.0,0
rome,uniform_random,random,0.1,75,0.391545,12300,1.0,0
rome,uniform_random,random,0.2,75,0.413089,12300,1.0,0
rome,uniform_random,rational_topfee,0.1,100,0.527805,12300,1.0,0
rome,uniform_random,rational_topfee,0.2,100,0.546098,12300,1.0,0
rome,uniform_random,random,0.1,100,0.52122,12300,1.0,0
rome,uniform_random,random,0.2,100,0.550488,12300,1.0,0
rome,uniform_random,rational_topfee,0.1,125,0.632927,12300,1.0,0
rome,uniform_random,rational_topfee,0.2,125,0.650976,12300,1.0,0
rome,uniform_random,random,0.1,125,0.639106,12300,1.0,0
rome,uniform_random,random,0.2,125,0.653821,12300,1.0,0
rome,uniform_random,rational_topfee,0.1,150,0.765122,12300,1.0,0
rome,uniform_random,rational_topfee,0.2,150,0.777317,12300,1.0,0
rome,uniform_random,random,0.1,150,0.769187,12300,1.0,0
rome,uniform_random,random,0.2,150,0.781707,12300,1.0,0
rome,uniform_random,rational_topfee,0.1,175,0.897642,12300,1.0,0
